.binary	application/octet-stream
.etd	application/x-ebx
.emf	application/x-emf
.epi	application/x-epi
.frm	application/x-frm
.g4	application/x-g4
.gbr	application/x-gbr
.gl2	application/x-gl2
.gp4	application/x-gp4
.hgl	application/x-hgl
.hmr	application/x-hmr
.hpg	application/x-hpgl
.hpl	application/x-hpl
.hrf	application/x-hrf
.icb	application/x-icb
.ico	application/x-ico
.uin	application/x-icq
.iff	application/x-iff
.igs	application/x-igs
.img	application/x-img
.ins	application/x-internet-signup
.iii	application/x-iphone
.js	application/x-javascript
.jpe	application/x-jpe
.jpg	application/x-jpg
.lar	application/x-laplayer-reg
.latex	application/x-latex
.lbm	application/x-lbm
.ltr	application/x-ltr
.mac	application/x-mac
.mdb	application/x-mdb
.mi	application/x-mi
.mil	application/x-mil
.mxp	application/x-mmxp
.dll	application/x-msdownload
.wmd	application/x-ms-wmd
.wmz	application/x-ms-wmz
.cdf	application/x-netcdf
.nrf	application/x-nrf
.out	application/x-out
.pc5	application/x-pc5
.pci	application/x-pci
.pcl	application/x-pcl
.pcx	application/x-pcx
.pl	application/x-perl
.pgl	application/x-pgl
.pic	application/x-pic
.pfx	application/x-pkcs12
.p7b	application/x-pkcs7-certificates
.p7r	application/x-pkcs7-certreqresp
.plt	application/x-plt
.png	application/x-png
.ppm	application/x-ppm
.ppt	application/x-ppt
.pr	application/x-pr
.prn	application/x-prn
.prt	application/x-prt
.ps	application/x-ps
.ptn	application/x-ptn
.ras	application/x-ras
.red	application/x-red
.rgb	application/x-rgb
.rlc	application/x-rlc
.rle	application/x-rle
.rtf	application/x-rtf
.sam	application/x-sam
.sat	application/x-sat
.sdw	application/x-sdw
.swf	application/x-shockwave-flash
.xap	application/x-silverlight-app
.slb	application/x-slb
.sld	application/x-sld
.smk	application/x-smk
.sit	application/x-stuffit
.sty	application/x-sty
.tdf	application/x-tdf
.tg4	application/x-tg4
.tga	application/x-tga
.tif	application/x-tif
.man	application/x-troff-man
.vda	application/x-vda
.vpg	application/x-vpeg005
.vsd	application/x-vsd
.vst	application/x-vst
.wb1	application/x-wb1
.wb2	application/x-wb2
.wb3	application/x-wb3
.wk3	application/x-wk3
.wk4	application/x-wk4
.wkq	application/x-wkq
.wks	application/x-wks
.wmf	application/x-wmf
.wp6	application/x-wp6
.wpd	application/x-wpd
.wpg	application/x-wpg
.wq1	application/x-wq1
.wr1	application/x-wr1
.wri	application/x-wri
.wrk	application/x-wrk
.ws	application/x-ws
.x_b	application/x-x_b
.x_t	application/x-x_t
.crt	application/x-x509-ca-cert
.xls	application/x-xls
.xlw	application/x-xlw
.xwd	application/x-xwd
.aiff	audio/aiff
.snd	audio/basic
.rmi	audio/mid
.mp1	audio/mp1
.mp2	audio/mp2
.mp3	audio/mp3
.m3u	audio/mpegurl
.mpga	audio/rn-mpeg
.pls	audio/scpls
.ra	audio/vnd.rn-realaudio
.wav	audio/wav
.lmsff	audio/x-la-lms
.la1	audio/x-liquid-file
.lavs	audio/x-liquid-secure
.acp	audio/x-mei-aac
.wax	audio/x-ms-wax
.wma	audio/x-ms-wma
.mnd	audio/x-musicnet-download
.mns	audio/x-musicnet-stream
.ram	audio/x-pn-realaudio
.rpm	audio/x-pn-realaudio-plugin
0.907	drawing/907
.slk	drawing/x-slk
.top	drawing/x-top
.fax	image/fax
.gif	image/gif
.jpeg	image/jpeg
.net	image/pnetvue
.png	image/png
.tif	image/tiff
.rp	image/vnd.rn-realpix
.wbmp	image/vnd.wap.wbmp
.ico	image/x-icon
.java	java/*
.mhtml	message/rfc822
.dwf	Model/vnd.dwf
.asa	text/asa
.asp	text/asp
.css	text/css
0.323	text/h323
.html	text/html
.uls	text/iuls
.txt	text/plain
.wsc	text/scriptlet
.rt	text/vnd.rn-realtext
.r3t	text/vnd.rn-realtext3d
.wml	text/vnd.wap.wml
.htt	text/webviewhtml
.htc	text/x-component
.xml	text/xml
.odc	text/x-ms-odc
.vcf	text/x-vcard
.avi	video/avi
.mp2v	video/mpeg
.mp4	video/mpeg4
.mpeg	video/mpg
.rv	video/vnd.rn-realvideo
.IVF	video/x-ivf
.mpe	video/x-mpeg
.mpa	video/x-mpg
.asx	video/x-ms-asf
.wm	video/x-ms-wm
.wmv	video/x-ms-wmv
.wmx	video/x-ms-wmx
.wvx	video/x-ms-wvx
.movie	video/x-sgi-movie
